posted_at,product,post_no,price_usd,price_text,source,title,url
2026-08-19,gmktec-k12,96708,202.00,$202,title,"재입고특가) 올독큐브 iPlay 80 Mini PRO($84),GMKtec M8($149),GMKtec K12 ($202)등/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96708
2026-08-19,gmktec-k12,96713,202.00,$202,title,"[재입고]GMKtec M8 6650H($149), K12 ($202), FIREBAT F1 H255($351),GMKtec G3S($94)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96713
2026-08-19,gmktec-k12,96741,202.00,$202,title,"특가) 올독큐브 iPlay 80 Mini PRO($84),빅미 Bigme B6 이북($132),GMKtec G3S($94),GMKtec K12 ($202)등/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96741
2026-08-20,gmktec-k12,96779,202.00,$202,title,"특가) 올독큐브 iPlay 80 Mini PRO($84),빅미 Bigme B6 이북($132),GMKtec G3S($94),GMKtec K12 ($202)등/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96779
2026-08-26,gmktec-k12,97678,,,none,"[재입고] GMKtec M6 7640HS 미니PC($164), FIREBAT R3 7430U($216), F1 H255($340)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97678
2026-08-26,gmktec-k12,97714,,,none,"[재입고] GMKtec M6 7640HS 미니PC($164), FIREBAT R3 7430U($216), F1 H255($340)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97714
2026-09-14,gmktec-k12,99240,240.00,$240,title,"(PC특가) FIREBAT F1 미니 PC($260), GMKtec K12 게이밍 미니 PC ($240)무배",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99240
2026-09-14,gmktec-k12,99246,,,none,[미니PC특가] FIREBAT F1($260) GMKtec G3S($121) GMKtec M8($205)/무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99246
2026-09-14,gmktec-k12,99247,,,none,"[미니PC특가] FIREBAT F1($260), GMKtec G3S($121), GMKtec M8($205)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99247
2026-09-14,gmktec-k12,99269,,,none,"[특가] FIREBAT F1 미니PC ($260), 로보락 F25 물걸레 진공청소기($117)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99269
2026-09-14,gmktec-k12,99275,240.00,$240,title,"(PC특가) GMKtec K12 게이밍 미니 PC ($240)무배, GMKtec M8 미니 PC($205)무배",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99275
2026-09-14,gmktec-k12,99284,,,none,[미니PC특가] FIREBAT F1($260) GMKtec G3S($121) GMKtec M8($205),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99284
2026-09-14,gmktec-k12,99286,,,none,[미니PC특가] FIREBAT F1($254) GMKtec G3S($116) GMKtec M8($200),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99286
2026-09-15,gmktec-k12,99314,,,none,"[미니PC특가] FIREBAT F1($260), GMKtec G3S($121), GMKtec M8($205)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99314
2026-09-15,gmktec-k12,99316,235.00,$235,title,"(PC특가) FIREBAT R3 MiniPc ($151), GMKtec K12 게이밍 미니 PC ($235)무배",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99316
2026-09-15,gmktec-k12,99319,,,none,[미니PC특가]GMKtec G3S($121) GMKtec M8($200) FIREBAT F1($260) /무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99319
2026-09-15,gmktec-k12,99322,,,none,[미니PC특가] GMKtec G3S($116) FIREBAT F1($254) GMKtec M8($200),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99322
2026-09-15,gmktec-k12,99347,,,none,[미니PC특가] GMKtec G3S($116) FIREBAT F1($254) GMKtec M8($200),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99347
